"region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
28087,59699,53,44,1,2,21410,491,36.3
28089,100202,56,38,2,3,34478,756,37
28091,26109,65,32,0,1,19491,349,39.1
28093,36385,48,48,0,3,19047,483,39.6
28095,36175,67,30,0,1,19215,376,40.6
28097,10464,52,45,0,1,17674,330,41.7
28099,29553,59,22,0,1,18572,380,35.8
28101,21663,62,30,0,2,20413,388,37.7
28103,11143,27,72,0,1,14450,319,36.8
28105,49048,57,37,3,2,20091,550,25
28107,34373,48,50,0,2,19525,440,36.5
28109,55196,82,14,0,3,19786,540,40.7
28111,12187,77,21,0,0,17928,338,40.1
28113,40075,45,52,0,1,17777,460,36.7
28115,30517,77,15,0,6,19695,441,37
28117,25380,83,14,0,1,17644,393,39.2
28119,7761,28,70,0,1,14503,359,38.5
28121,146761,75,20,1,3,27389,707,36.9
28123,28293,51,37,1,11,17256,439,36
28125,4805,28,71,0,1,15993,331,38.5
28127,27401,62,36,0,2,17412,439,37.7
28129,16257,75,25,0,0,21050,351,40.1
28131,17978,77,19,0,2,19484,581,36.8
28133,27911,25,73,0,1,13718,364,34.1
28135,14959,36,45,1,17,13819,338,36
28137,28415,65,31,0,2,21547,516,36.7
28139,22054,78,16,0,5,20012,353,38.4
28141,19539,93,3,0,3,18881,349,42.8
28143,10477,21,76,1,1,17246,524,32.2
28145,27811,79,14,1,5,18889,442,38
28147,14978,53,45,0,2,17872,332,39.4
28149,48020,49,48,1,2,22417,515,37.9
28151,49499,26,71,1,1,17160,421,36.2
28153,20564,59,39,0,1,20231,303,36.7
28155,9999,78,20,0,1,19938,321,41.1
28157,9345,29,71,0,0,15307,312,36.8
28159,18697,51,47,0,1,19199,370,40.5
28161,12381,59,39,0,2,19679,293,41.5
28163,27911,36,57,0,5,14934,365,35.8
29001,25560,91,2,2,2,19671,454,27.9
29003,17328,95,1,0,2,26778,500,42.3
29005,5440,97,0,1,1,26069,352,47.1
29007,25783,87,7,0,3,18934,387,39.2
29009,35726,87,0,1,8,19313,394,43.3
29011,12166,93,0,1,2,20780,366,41.1
29013,16643,95,1,0,2,21715,416,41.9
29015,18854,95,0,0,2,19122,426,52.5
29017,12356,97,0,1,1,19605,378,43.1
29019,170770,80,8,4,3,27150,630,30.1
29021,89561,85,5,1,6,22218,540,36.8
29023,42951,89,6,1,2,19473,424,40
29025,9083,95,1,0,2,23082,414,42.3
29027,44566,90,4,1,2,22520,479,37.8
29029,43927,95,1,1,2,23996,499,49.8
29031,77606,87,8,1,2,24479,522,36
29033,9096,95,1,0,1,23403,339,42.4
29035,6284,95,0,0,2,20318,336,40.9
29037,100781,89,4,1,4,28398,698,39.2
29039,13892,95,0,0,1,18255,378,44.8
29041,7650,96,2,0,1,20953,305,45.5
29043,80904,94,1,1,3,24730,586,37.8
29045,6919,97,0,0,0,23463,352,43.7
29047,230361,83,5,2,6,29793,669,36.6
29049,20498,94,2,1,2,25500,538,41
29051,76533,82,12,1,3,26014,472,38
29053,17593,89,6,0,2,23252,427,38.6
29055,24660,96,0,0,2,19017,421,41.2
29057,7618,94,0,0,2,20828,370,47.1
29059,16564,95,0,0,2,17494,394,43
29061,8277,97,1,0,1,19208,339,40.5
29063,12782,82,10,0,4,17125,365,40.1
29065,15612,95,0,1,1,19747,365,43.4
29067,13516,98,0,0,1,17343,359,47.3
29069,31562,82,10,0,6,18009,317,39.8
29071,101828,95,1,0,2,25241,520,40.2
29073,14948,97,0,0,1,22845,419,45.6
29075,6785,97,1,0,1,20687,346,41.4
29077,283206,89,3,2,3,24097,555,35.6
29079,10256,95,1,0,1,19365,350,41
29081,8722,96,1,0,2,19906,380,42.4
29083,22034,94,2,0,2,23961,427,44.1
29085,9335,96,0,0,1,18153,358,53.5
29087,4615,97,0,0,0,25319,334,47.4
29089,10182,91,5,0,1,22158,409,38.8
29091,40326,95,0,1,2,18817,401,40.6
29093,10322,95,3,0,1,19559,380,43.1
29095,680905,63,24,2,9,26629,624,36.5
29097,117184,85,2,1,7,22431,510,35.5
29099,221577,95,1,1,2,25247,612,38.6
29101,54155,87,4,1,4,22722,550,29.7
29103,4035,96,1,0,1,22397,310,43.6
29105,35514,94,1,1,2,19567,425,39.8
29107,32916,92,2,0,3,24266,447,41
29109,38244,90,0,1,7,19508,411,39.6
29111,10172,92,3,0,2,20042,338,39.3
29113,53850,94,2,0,2,22232,606,36.5
29115,12401,96,0,0,2,19889,328,42.8
29117,15042,93,3,0,2,22557,382,42
29119,22763,79,2,1,11,18498,420,37
29121,15460,94,3,0,1,19738,319,42.9
29123,12401,95,2,0,0,17179,379,42.3
29125,9057,96,0,1,1,20731,365,44.2
29127,28840,91,5,1,2,21614,411,39.7
29129,3718,97,1,1,1,20404,324,44.1
29131,24956,95,0,0,2,21268,450,40.8
29133,14208,72,24,0,2,16515,355,39.3
29135,15801,90,4,0,5,20901,396,38
29137,8680,94,3,0,1,20921,366,44.8
29139,11939,95,1,0,2,20710,432,43.7
29141,20225,95,1,0,2,18431,432,46.5
29143,18411,80,16,0,2,19918,336,40.5
29145,58777,87,1,1,5,22735,449,39.7
29147,23186,93,3,2,1,18307,499,28.3
29149,10979,94,0,0,1,17070,322,45.8
29151,13758,98,1,0,1,23918,391,39.8
29153,9537,96,0,0,2,16959,331,50.7
29155,17837,69,27,0,2,16902,328,37.6
29157,19100,96,1,0,2,23695,470,39.7
29159,42215,86,3,0,8,20494,479,37.5
29161,45029,89,2,3,2,21611,479,34.4
29163,18517,89,6,0,2,19005,418,39.5
29165,93394,83,6,3,6,35666,721,38.3
29167,31107,94,1,0,2,19908,443,37.5
29169,53443,70,11,3,10,19568,851,26.8
29171,4895,97,0,1,1,20203,301,46.4
29173,10243,96,1,0,1,23442,391,45.1
29175,25135,89,5,1,2,18151,437,38.4
29177,23031,94,1,0,2,24101,509,41.5
29179,6578,95,1,0,1,20082,358,46.6
29181,13990,95,0,0,1,17315,344,41.6
29183,374805,88,4,2,3,32946,784,37.4
29185,9520,95,1,0,2,18840,338,49.7
29186,17990,96,1,0,1,23772,427,42.5
29187,66010,92,5,0,1,19315,487,38.9
